省份,地市,网点名称,地址,电话,网点类型,来源页面,页码
广东省,广州市,建设银行广东省广州恒福路分理处,广州市恒福路238号首层、负一层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州福今支行,广州市福今路47号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州较场西路支行,广州市东华西路221号143铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州东山支行营业室,广州市东华南路166-168号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州东风东路分理处,广州市东风东路808号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州东宝大厦分理处,广州市东风东路769号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州高教大厦支行,广州市东风东路723号高教大厦首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州执信路支行,广州市东风东路650、652号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州黄华支行,广州市东风东路573号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州德政路分理处,广州市德政中路299、301号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州北较场支行,广州市北较场路20号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州东山支行白云路支行,广州市白云路38号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州东山支行大沙头三马路支行,大沙头三马路34-36号湖滨苑首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州体育中心地铁分理处,广州市体育中心地铁站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_2.html,2
广东省,广州市,建设银行广东省广州体育西路地铁储蓄所,广州市体育西路地铁站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州黄沙地铁储蓄所,广州市黄沙地铁站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州市二宫地铁储蓄所,广州地铁市二宫站站厅内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州三元里地铁储蓄所,广州地铁三元里站站厅内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州海珠广场地铁储蓄所,广州地铁海珠广场站站厅内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州珠江新城分理处,广州市珠江新城华就路27-29号润德大厦首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州烈士陵园地铁分理处,广州市中山三路25-27号地铁站内流行前线B001号商铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州应元路支行,广州市应元路76-82号富宏花园首层东边铺位,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州杨箕地铁分理处,广州市杨箕地铁站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州沿江西路支行,广州市沿江西路139号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州西门口地铁分理处,广州市西门口地铁站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州西朗地铁分理处,广州市西朗地铁站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州诗书路分理处,广州市诗书路3、3-1号1-4楼,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州惠福西路支行,广州市起义路175号首层及阁楼、二楼,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州盘福路支行,广州市盘福路55号首层部分及阁楼、59号201房,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_3.html,3
广东省,广州市,建设银行广东省广州农讲所地铁分理处,广州市农讲所地铁站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州解放南路分理处,广州市解放南路39号亿安广场首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州吉祥路支行,广州市吉祥路48号首层及阁楼,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州仓边路支行,广州市豪贤路184号首层、二层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州光大花园分理处,广州市海珠区革新路221、223号商铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州公园前地铁分理处,广州市公园前地铁站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州小北路支行,广州市法政路60号103房、103房夹层、203房,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州交易广场分理处,广州市东风中路268号广州交易广场首层103铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州东站地铁分理处,广州市地铁东站站内DZ-1、DZ-2号铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州越秀支行营业室,广州市大德路190号-198号首层、198号二、三楼、200号四楼全层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州中山六路支行,广州市朝天路81号之3-4首、二层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州长堤支行,广州市长堤大马路121号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州地铁支行,广州市北京路372号首层及阁楼,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州羊城支行,广州市北京路295号广州百货大厦东南首、二层部分,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州晓港地铁支行,广州地铁二号线晓港站内,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_4.html,4
广东省,广州市,建设银行广东省广州员村支行,广州员村二横路2号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州暨南大学分理处,广州市暨南大学羊城苑15幢,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州广东工业大学分理处,广州市五山工业大学内办公楼首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州天寿路支行,广州市天寿路21-23号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州天河直街支行,广州市天河直街85号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州体育东路支行,广州市天河体育东路45号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州天府路分理处,广州市天河区中山大道东方都会广场首层16—22号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州天润路分理处,广州市天河区天阳路134-136号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州金海花园支行,广州市天河区天河北路614号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州华景新城支行,广州市天河区华景新城龙门阁首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州五山路分理处,广州市天河区茶山路263号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州龙口路支行,广州市天河路553号龙苑大厦首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州大道北支行,广州市天河路47号之二蓝天大厦首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州天河城支行,广州市天河路208号天河城广场103A,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州直属支行,广州市天河东路232号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_5.html,5
广东省,广州市,建设银行广东省广州天河东路支行,广州市天河东路110号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州天河高新区支行,广州市天河北路东方之珠花园首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州天河支行营业室,广州市体育西路111号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州石牌支行,广州市石牌暨南大学西门西侧,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州沙太支行,广州市沙太路71号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州沙河分理处,广州市沙河濂泉路7号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州东站支行,广州市林和东路149号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州华南师范大学分理处,广州市华南师范大学校园,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州华南农业大学分理处,广州市华南农业大学住宅区40号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州沙河支行,广州市广州大道北水荫四横路106号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州荔湾支行营业室,广州市中山七路304号之一,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州石路基支行,广州市中山八路周门街12号首、二层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州中山八路分理处,广州市中山八路21-27号富力商贸中心大厦首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州站前路支行,广州市站前路142号一至三层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州流花支行,广州市站前横路57号综合楼一、二层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_6.html,6
广东省,广州市,建设银行广东省广州琶洲分理处,广州市阅江中路380号珠江散步道22号馆（D）1号柜台,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州杉木栏分理处,广州市杉木栏路151号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州人民中路支行,广州市人民中路555号美国银行中心大楼101－104号铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州西华路支行,广州市人民北路829-831号环球广场首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州城启分理处,广州市南岸路63号城启大厦首层4号、七搂709房,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州龙津分理处,广州市龙津西路29号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州西村支行,广州市荔湾区环市西路35号之23、39、40号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州长寿西路分理处,广州市荔湾区长寿西路74-78号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州荔湾路分理处,广州市荔湾路58号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州西城支行,广州市东风西路191号103、203、303,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州康王路分理处,广州市东风西路140号东方金融大厦首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州荔湾广场分理处,广州市德星路9号荔湾广场首层FA27-31，87，88,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州环市东路支行,广州市越秀区水荫路二号华信大厦西座首层102号及02单元部分,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州广花三路分理处,广州市远景路14号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州永福支行,广州市先烈中路89号首、二层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_7.html,7
广东省,广州市,建设银行广东省广州先烈东路支行,广州市先烈东路216号（含夹层）,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州帝景大厦支行,广州市淘金路36-38号103房、202房,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州淘金家园支行,广州市淘金东路69号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州水荫路分理处,广州市水荫路36号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州人和支行,广州市人和镇广州冷机股份有限公司旁四层楼房首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州登峰支行,广州市麓景路5号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州梓元岗支行,广州市解放北路1319号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州江高支行,广州市江高镇金沙住宅区二号楼首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州新市支行,广州市机场路1320号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州黄石路支行,广州市黄石东路281号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州区庄分理处,广州市环市东路420号华山招待所一楼大堂东侧,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州东环支行,广州市环市东路336号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州同和分理处,广州市广州大道北京溪路97号首层21、22、23、24、25号铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州云苑新村支行,广州市广园中路云苑新村云苑二街2号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州白云支行营业室,广州市广园中路217号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_8.html,8
广东省,广州市,建设银行广东省广州广园西路支行,广州市广园西路13号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州广园东分理处,广州市广园东路1949号沙东综合楼首层东侧,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州罗冲围分理处,广州市白云区增槎路富力半岛花园E3、E4栋首层3号、4号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州汇侨分理处,广州市白云区新市镇汇侨路2号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州石井分理处,广州市白云区石井镇石安路261-269号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州鹭江支行,广州市新港西路231号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州新港路支行,广州市新港西路143号之一,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州滨江东路分理处,广州市上渡路50-54号金豪嘉苑首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州万松园支行,广州市前进路140号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州菩提园分理处,广州市荔福路西华街24号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州江燕分理处,广州市江燕路海富花园60号商铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州江南大道中支行,广州市江南大道中66号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州江南大道分理处,广州市江南大道中171号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州逸景分理处,广州市华盛路201、203、205号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州赤岗支行,广州市海珠区新港中路382号首、二层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_9.html,9
广东省,广州市,建设银行广东省广州细岗路分理处,广州市海珠区细岗路44、46、48号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州晓港湾分理处,广州市海珠区南洲北路丽华街50号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州江南新村支行,广州市海珠区江南西路35号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州金广纸分理处,广州市海珠区广纸路23号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州芭堤水岸分理处,广州市海珠区滨江东路938、940、942号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州海琴湾分理处,广州市海珠区滨江东路541、543号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州尚海分理处,广州市海珠区滨江东路148、150号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州宝业路分理处,广州市海珠区宝业路10号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州海珠支行营业室,广州市海珠区宝岗大道157号首层至三层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州石溪支行,广州市工业大道中373号之一,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州工业大道支行,广州市工业大道北83号之九号至之十三号首层铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州仲恺支行,广州市纺织路东沙街24号之二十一首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州晓港分理处,广州市东晓南路晓南花园6号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州昌岗路支行,广州市昌岗中路197号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州艺苑路分理处,广州市海珠区艺苑路东庆街3、4号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_10.html,10
广东省,广州市,建设银行广东省广州国际轻纺城分理处,广州市海珠区金纺路2号广州国际轻纺城D2001-2003、D2005-2009、D2031-2033、D2035,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州江湾路分理处,广州市海珠区江湾路142、144号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州百花支行,广州市芳村区永乐路23号之101、102、103、156、157、158、159号铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州芳村支行营业室,广州市芳村区花蕾路2-6号首、二层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州鹤园分理处,广州市芳村区鹤洞路鹤园中一巷1号之一首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州芳村大道分理处,广州市芳村大道中242号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州桥东支行,广州市芳村大道西115号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州鹤洞支行,广州市芳村大道东93号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州怡港花园储蓄所,广州市黄埔区黄埔东路168号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州新城海滨花园分理处,广州市天河区珠江新城海月路407号首层,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州工业园支行,广州市天河区中山大道科韵路16号广州信息港C栋首层东向,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州骏景花园分理处,广州市天河区中山大道骏景花园骏景路124号、125号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州羊城花园分理处,广州市天河区中山大道366号广东省武警总队综合楼,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州东圃支行,广州市天河区中山大道1号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州员村分理处,广州市天河区员村西街1号大院1号102铺,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_11.html,11
广东省,广州市,建设银行广东省广州林和中路支行,广州市天河区林和中路156号103、203号,暂无,营业厅,https://bank.cngold.org/yhwd/bank_9_20_326_0_12.html,12
